,0
10,The demand for access to different types of information have led to a renewed interest in answering questions posed in ordinary human language and seeking  exact specific and complete answer After having made substantial achievements in factfinding and list questions natural language processing NLP community turned their attention to more complex information needs that cannot be answered by simply extracting named entities persons organization locations dates etc from single sentences in documents Chali et al  Unlike simple factoid questions complex questions often seek multiple different types of information simultaneously located in multiple sentences and one cannot assume that a particular single sentence contains expected information Dependency parsing helps to answer complex queries in an industrial environment reconstructing semantic content efficiently by extracting related terms through analysis and classification Iwashita et al  To systematically analyze how keywords from a query occur in multiple sentences in a document one needs to explore coreferences and other relations between words within a sentence and between sentencesr
11,Most search engines attempt to find the occurrence of query keywords in a single sentence in a candidate search result Kim et al  If it is not possible or has a low search engine score multiple sentences within one document are used However modern search engines have no means to determine if the found occurrences of the query keywords in multiple sentences are related to each other or not Neither search engine can determine if they are related to the same entity nor being in different sentences are all related to the query termr
12,Paragraphs of text as queries appear in the searchbased recommendation domains Montaner et al  Bhasker and Srikumar  Thorsten  Recommendation agents track user chats user postings on blogs and forums user comments on shopping sites and suggest web documents and their snippets relevant to a purchase decisions To do that these recommendation agents need to take portions of text produce a search engine query run it against a search engine API such as Bing or Yahoo and filter out the search results which are determined to be irrelevant to a purchase decision The last step is critical for a sensible functionality of a recommendation agent and poor relevance would lead to a lost trust in the recommendation engine Hence an accurate assessment of similarity between two portions of text is critical to a successful use of recommendation agentsr
13,Nowadays the problem of answering simple queries involving a single entity and its attributes is solved fairly well However more complex questions in such domain as legal science and health can be expressed in paragraphs rather than in single phrases or single sentences as expressed for example in Yahoo Answers or StackOverflow The technique being proposed targets the paragraphsized questions which involve multiple entities and their interconnected attributes These attributes do not occur altogether but instead follow a certain discourse which needs to be extracted from the question and then matched with the ones from candidate answers For example to answer the following question we do not just need to match the keywords from actual questions two last sentences but also match the preceding sentences with that of a candidate answerr
14,One of the provisions in the Patient Protection and Affordable Care Act  is that it limits the profits of health insurance companies The ACA imposes a minimum medical loss ratio MLR on all insurers The MLR is the amount of money spent on covered person medical care divided by the total revenue received through premiums What constitutes ‘medical care’ Do investments in electronic health records count as medical care r
15,If a question includes just a phrase or a sentence selecting less frequent keywords to match with candidate answers do the job However in this case one needs to track how entities like ‘medical care’ are introduced and how the links between their attributes are established To match this paragraphsized question with an answer one needs to build a representation of its discourse on one hand PT and also provide a machinery to match this discourse structure with that of a candidate answer PT generalization r
16,Fig A high level view of the contribution of this paper we ascend from the level of individual sentences on the top to the level of paragraphs on the bottom     r
17,In this study we attempt to systematically extract semantic features from paragraphs of text using a graphbased learning assuming that adequate parsing trees for individual sentences are available In our earlier studies Galitsky et al  Galitsky et al  we applied graph learning to parse trees at the sentence level and here we proceed to learning the structure of paragraphs relying on parse forest We have defined the least general generalization of parse trees we call it syntactic generalization and in this study we extend it to the level of paragraphs We have applied generalizations of parse trees to the cases where a query is based on a single sentence and candidate answers consist from single sentences  Galitsky et al  and multiple sentences Galitsky et al  In these cases to rerank answers we needed pairwise sentencesentence generalization and sentenceparagraph generalizations respectively In this study we rely on PT to perform a paragraphlevel generalization where both questions and answers are paragraphs of textr
18,The contribution of this paper is to ascend from sentencelevel generalization to paragraphlevel generalization Fig On the top the common part of two parse trees is shown which is a generalization of two sentences On the bottom we show a number of mapped subgraphs which form the common parts of two PTs graphs which is a generalization of two paragraphs Generalizing paragraphs of text we do not only have to match words and their syntactic links but their discourse relations as well Hence overall generalization structure is much more difficult than in the case of individual sentences r
19,The chart for how generalization of parse thickets supports search relevance is shown in Fig  The PT generalization system inputs a search query and candidate answers obtained from local search index or using Bing search engine API PT is computed for the query which is a paragraph of text and each candidate answer Then each answer is generalized with the query to obtain the similarity score which is the basis for relevance assessment As a result the answers with high similarity score is outputted as relevant r
20,We define the operation of generalization of text paragraphs via generalization of respective PTs to assess similarity between them The use of generalization for similarity assessment is inspired by structured approaches to machine learning versus unstructured statistical alternatives where similarity is measured by a distance in feature space Our intention is to extend the operation of least general generalization eg the antiunification of logical formulas towards structural representations of paragraph of texts Hence we will define the operation of generalization on a pair of PT as finding the maximal common subthickets and outline two approaches to itr
21,•Based on generalizing phrases from two paragraphs of textr
22,•Based on generalizing graph representation for PTs for these paragraphsr
23,To represent the structure of a paragraph of text given parse trees of its sentences we introduce the notion of Parse Thicket PT as a sequence of parse treesr
24,Fig  Illustration for the main contribution of this paperr
25,Rhetoric Structures and Speech Acts as intersentence linksr
26,In this section we attempt to treat computationally with a unified framework two approaches to textual discourser
27,We selected these theories as most reliable and frequent sources of links between sentences Although both these theories have psychological observation as foundations and are mostly of a noncomputational nature we will build a specific computational framework for them For RST we will use explicit rules which will be applied to each sentence attempt to extract an RST relation and add a link to the PT For SpActT we use a vocabulary of communicative actions to find their subjects and add respective links to PT In this section we provide the background for these theories of discourse and explain how to use them to build links between sentence building parse thickets In Section we will show how to use these PT arcs for generalization operationr
28,People sometimes assume that whenever a text has some particular kind of discourse structure there will be a signal indicating that structure A typical case would be a conjunction such as ‘but’ What structure is seen depends vitally on the words and sentences of the text are but the relationship between words and text structure is extremely complex Phrases and syntactic patterns can also be used to signal discourse structure r
29,When one searches for document as an answer to a question it can reside in multiple portions in this document To link these portions automatically one needs to link these portions somehow and RST relation can be leveraged Searching for a review on “white iPhone case it can read r
30,“ I got a case for my iPhone … Sentence … Sentence … But when I got white case …r
31,Here conjunction But indicates the connection between the First sentence and Fourth sentence which happen to contain the phrase which matches white iPhone case Notice that not all sentences containing keywords we seek can be matched if there is no corresponding discourse relation white can refer to another object not iPhone caser
32,RST was originally developed as part of studies of computerbased text generation at Information Sciences Institute in by Bill Mann Sandy Thompson and Christian Matthiessen The theory is designed to explain the coherence of texts seen as a kind of function linking parts of a text to each other which is employed in building PTs This coherence is explained by assigning a structure to the text which slightly resembles a conventional sentence structure We adjust this structure for the purpose of multisentence search abilityr
33,Text parsing using RST has also been attempted although not as enthusiastically Marcu  presented an algorithm to parse the discourse structure of texts using discourse markers as indicators of relations Corston and Oliver  included other sources of information whether the span in question is a main coordinate or subordinate clause; position of clause main subordinate or subordinatemain; presence of certain adverbs; presence of pronouns; polarity of the clause etc Le and Abeysinghe  combine discourse markers syntactic relations and cohesive devices Schilder  uses discourse markers and position to parse discourse structure of a slightly different form using Segmented Discourse Representation Theory Asher and Lascarides  r
34,We now introduce the relations of RST Discourse units are clauses with verbs and its obligatory arguments sentences titles and section titles even when they are verbless Both restrictive and nonrestrictive modifiers that use a finite verb are embedded units Adjacent text spans are linked together via rhetorical coherence relations Mononuclear relations hold between text spans where one of them the nucleus is more salient to the discourse structure and the other one the satellite represents supporting information If you show them this movie  they’ll screamr
35,Multinuclear hold between or more text spans each of which has the same weight in the discourse structure Go to url Find menu item register Type your namer
36,Mononuclear relation links nucleus with its satellite As an answer satellite is only valid as long as satellite is present r
37,We now introduce the rules to extract RST relations between elementary discourse units in the following formr
38,where Syntactic template indicates how to extract a particular RST relation from text andr
39,is a set of  phrases which will be linked Partof Syntactic template is a set of sublists of Syntactic template phrasesr
40,For the purpose of building PT we construct syntactic templates to express RST Relational classes We don’t have to cover all RST relation and we don’t have to be precise in establishing them unless relation type is matched with query term We enumerate the relations and give example of some templates we use to detect an RST links and specify respective linking rulesr
41,Once rhetoric relation in one text is found it can be generalized with this relation in another text We propose a definition to do that which will be the part of overall PT generalizationr
42,iRST relations in text  jRST relations in text Notice that individual RST generalization will be defined in Section r
43,Adapting Speech Act Theory for multisentence searchr
44,In this section we formulate the Theory of Speech Act in a way applicable to finding links between sentences for paragraphlevel generalization In this theory dialogue negotiation conflict dispute are forms of interactions between human agents Elements of the language which expresses these interactions are referred to as locutions speech acts Bach & Harnish  utterances or communicative actions we are going to keep using the last term and use abbreviation CAr
45,How can CAs serve as links between sentences and help answer questions For the same question we used in the previous Section white iPhone case let us consider a document “I asked them about cases for iPhone … I needed it to protect my phone … Sentence … Sentence  They answered that they had a white case What is important here is the link between CA asks and CA answered passing through multiple sentences The fact that the latter CA is a reaction response to the former is a basis for our conclusion that the subjects of these CAs  cases for iPhone had a white case  are correlated Hence the phrases expressing these subjects can be linked and matched together against a question To determine that CAis a reaction to CA we need to establish their attributes leveraging Speech Act Theoryr
46,Definition   A communicative action is a functor of the formr
47,where verb characterizes some kind of interaction between people eg explain confirm remind disagree deny etc agent identifies the person  and subject refers to the information transmitted or object described and cause refers to the motivation or explanation for the subjectr
48,The foundation of the current theory of Speech Acts was developed by Austin  where  he explores the performative utterances aiming to prove that when people speak they are doing more than simply conveying information—they act A speech act is essentially a theory that asserts the claim that in saying something we perform something It is an action that is performed by means of language An example would be a performative act of a judge during a hearing when he says “I now pronounce that the case is solved  Due to Austin’s designation of speech acts sentences like this adopt a notion of action The judge’s sentence is not a report of the action; it is the action indeed Austin distinguishes between three types of linguistic acts the act of saying something what one does in saying it and what one does by saying it He labels them Locutionary  Illocutionary and Perlocutionary respectively Farrell  A locutionary act is simply saying something about the world eg a declarative sentence such as “The product does not work This sentence is not posing a question promising or commanding anything It simply states something about the world containing purely propositional content This type of act is the most basic and does not require much more explanationr
49,The illocutionary act includes promising questioning admitting hypothesizing etc The locutionary act was simply the act of saying something while the illocutionary act is performed in saying something For example “A company promises to support the product after it is sold asserts more than simply stating a sentence about the world It includes an assertion that is performative in nature Illocutionary acts are very prominent in language and are frequently in use in complaint scenarios  The third type of linguistic acts are perlocutionary ones These are nonconventional sentences that cause a natural condition or state in a person These acts deemphasize the actual intentions and focus on the effects on the hearer For example acts of frightening or convincing depend on the response of another person If a perlocutionary act is successful then one can state that an illocutionary acts has successfully taken placer
50,Approximating scenarios of multiagent interactions we follow along the lines of communicative actions’ division into constatives and performatives  r
51,· Constatives describe or report some state of affairs such that it is possible to assess whether they are false or truer
52,· Performatives on the other hand are fortunate or unfortunate sincere or insincere realistic or unrealistic and finally valid or invalid which is the focus of the current study Performatives address the attitude of an the agent performing the linguistic act including his thoughts feelings and intentionsr
53,To choose communicative actions to adequately represent an interaction between humans we have selected the most frequently used ones from our structured database of complaints Table  Galitsky et al   r
54,Agree explain suggest remind allow try request understand inform confirm ask check ignore convince disagree appeal deny threaten bring to customer’s attention accept complaint accept deny responsibilities encourage cheatr
55,A number of computational approaches have attempted to discover and categorize how the agents’ attitudes and communicative actions are related to each other in the case of computational simulation of human agents Searle  Cohen & Levesque  Applying machine learning to the attitudes and communicative actions we are primarily concerned with how these approaches can provide a unified and robust framework for computing similarity between the communicative actions The theory of speech acts seems to be one of the most promising approaches to categorizing communicative actions in terms of their roles Following Bach & Harnish  we consider four categories of illocutionary communicative actions with major representatives stating requesting promising and apologizing Each speech act is related to a single category only in the framework of the speech act theory r
56,To extend the speech act–based means of expressing similarity between communicative actions we introduce five attributes each of which reflects a particular semantic parameter for communicative activityr
57,· Positive negative attitude expresses whether a communicative action is a cooperative friendly helpful move  uncooperative unfriendly unhelpful move  neither or both hard to tell r
58,· Request  respond mode specifies whether a communicative action is expected to be followed by a reaction  constitutes a response follows a previous request neither or both hard to tell r
59,· Info supply  no info supply tells if a communicative action brings in an additional data about the conflict  does not bring any information   does not occur herer
60,· High  low confidence specifies the confidence of the preceding mental state so that a particular communicative action is chosen high knowledgeconfidence  lack of knowledgeconfidence  neither or both is possible r
61,· Intense  relaxed mode says about the potential emotional load high  low   neutral  emotional loads are possibler
62,In order to define a robust framework to identify CA arcs in PT we are interested in distinguishing which are the most common communicative actions used in complaint scenarios and how they can be clustered in terms of the attitudes commonly associated with them Table shows the attribute of CA well suited for generalization For example agree^accept  <    >r
63,Table  Extended attributes of communicative actionsr
64,Having built the similarity model for communicative actions we can now compute wordword similarity for them via attributes r
65,To measure the similarity of abstract entities expressed by logic formulas a leastgeneral generalization Plotkin  was proposed for a number of machine learning approaches including explanationbased learning and inductive logic programming Given two logical terms it produces a more general term that covers both r
66,Definition  Let Eand Ebe two terms Term E is a generalization of Eand Eif there exist two substitutions uf073and uf073such that uf073E  Eand uf073E  E The most specific generalization of Eand Eis called the antiunifier Here we apply this abstraction to antiunify such data as texts that are traditionally referred to as unstructured r
67,In this study to measure the similarity between portions of text such as paragraphs sentences and phrases we extend the notion of generalization from logic formulas to the sets of syntactic parse trees of these portions of text If it were possible to define the similarities between natural language expressions at a purely semantic level the leastgeneral generalization would be sufficient However in horizontal search domains where the construction of full ontologies for a complete translation from natural language to logic language is not plausible an extension of the abstract operation of generalization to the syntactic level is required Rather than extracting common keywords the generalization operation produces a syntactic expression that can be semantically interpreted as a common meaning shared by two sentencesr
68,Let us represent a meaning of two NL expressions using logic formulas and then construct the unification and antiunification of these formulas How can we express a commonality between the expressionsr
69,To express the meanings we use the predicates cameraname_of_feature type_of_users in real life we would have a much higher number of arguments and zoomtype_of_zoom The above NL expressions will be represented as followsr
70,where the variables uninstantiated values that are not specified in NL expressions are capitalized Given the above pair of formulas unification computes their most general specializationxa0camerazoomdigital beginner and antiunification computes their most specific generalization camerazoomAnyZoom AnyUserr
71,At the syntactic level we have the generalization of two noun phrases as followsr
72,We eliminate the expressions in square brackets because they occur in one expression and do not occur in another Thus we obtainr
73,NNcamera PRPwith NNzoom which is a syntactic analog to the semantic generalization abover
74,The purpose of an abstract generalization is to find the commonality between portions of text at various levels The generalization operation occurs on the following levelsr
75,At each level except the lowest one the result of the generalization of two expressions is a set of expressions In such a set expressions for which lessgeneral expressions exist are eliminated The generalization of two sets of expressions is a set of the sets that are the results of the pairwise generalization of these expressionsr
76,The result of generalization of two words w^ w <  lemmaw ^ lemmaw  posw ^ posw> r
77,lemmaw ^ lemmaw is either  ww if the words are the same or ‘’ otherwise a placeholder for an arbitrary word if words wand ware differentr
78,posw ^ posw is either partofspeech posw ^ posw or ‘’ otherwise if their partsofspeech are differentr
79,· Only phrase of the same type can be generalized;r
80,· For noun phrases only those with the same head noun can be generalized The generalization result includes this head noun The head of a phrase is the word that determines the syntactic type of that phrase or analogously the stem that determines the semantic category of a compound of which it is a part The rest of the words in phrases is generalized according to Definition r
81,For other types of phrases generalization occurs analogously Notice that English is primarily a headinitial language Structure is descending as speech and processing move from left to right Most dependencies have the head preceding its dependents although there are also headfinal dependencies in parse trees For instance the determinernoun and adjectivenoun dependencies are headfinal as well as the subjectverb dependencies Most other dependencies in English are however headinitial; the mixed nature of headinitial and headfinal structures is common across languages Lehmann r
82,S^S ᴗp  ᴗi p^p  where p and p  are phrases from sentences S and SSof type p NP VP …r
83,We outline the algorithm for generalization two sentences below which concerns paths of syntactic trees rather than subtrees because these paths are tightly connected with language phrases Regarding the operations on trees we follow the work of Kapoor & Ramesh    r
84,Although it is a formal operation on abstract trees the generalization operation yields semantic information about the commonalities between sentences Rather than extracting common keywords the generalization operation produces a syntactic expression that can be semantically interpreted as a common meaning shared by two sentencesr
85,Output A list of lists of generalized phrases for each phrase typer
86,Obtain the parsing tree for each sentence For each word tree node we have a lemma a part of speech and the form of the word’s information This information is contained in the node label We also have an arc to the other node  r
87,Split sentences into subtrees that are phrases for each type verb noun prepositional and others These subtrees are overlapping The subtrees are coded so that the information about their occurrence in the full tree is retainedr
88,Extend the list of phrases by adding equivalence transformations Section r
89,Generalize each pair of subtrees for both sentences for each phrase typer
90,For each pair of subtrees yield an alignment Gildea  and generalize each node for this alignment Calculate the score for the obtained set of trees generalization results r
91,For each pair of subtrees of phrases select the set of generalizations with the highest score the least generalr
92,Form the sets of generalizations for each phrase type whose elements are the sets of generalizations for that typer
93,Filter the list of generalization results for the list of generalizations for each phrase type exclude more general elements from the lists of generalization for a given pair of phrasesr
94,For a given pair of words only a single generalization exists; if words are the same in the same form the result is a node with this word in this form We refer to the generalization of words occurring in a syntactic tree as a word node If the word forms are different eg one is single and the other is plural only the lemma of the word remains If the words are different and only the parts of speech are the same the resultant node contains only the partofspeech information with no lemma If the parts of speech are different the generalization node is empty r
95,For a pair of phrases the generalization includes all the maximum ordered sets of generalization nodes for the words in the phrases so that the order of words is retained Consider the following exampler
96,The digital camera was a good buy today the first Monday of the monthr
97,The generalization is <JJdigital NNcamera> <NNtoday ADVMonday> where the generalization for the noun phrase is followed by the generalization for the adverbial phrase The verb buy is excluded from both generalizations because it occurs in a different order in the above phrases Buy  digital  camera is not a generalization phrase because buy occurs in a different sequence in the other generalization nodesr
98,We can see that the multiple maximum generalizations occur depending on how the correspondence between words is established; multiple generalizations are possible To obey the condition of the maximum we introduce a score for generalization The scoring weights of generalizations are decreasing roughly in the following order nouns and verbs other parts of speech and nodes with no lemma only a part of speech In its style the generalization operation follows the notion of the ‘leastgeneral generalization’ or antiunification if a node is a formula in a language of logic Therefore we can refer to the syntactic tree generalization as an operation of antiunification of syntactic treesr
99,To optimize the calculation of the generalization score we conducted a computational study to determine the POS weights and deliver the most accurate similarity measure possible between sentences Galitsky et al  Galitsky et al  The problem was formulated as finding the optimal weights for nouns adjectives verbs and their forms such as gerund and past tense so that the resultant search relevance is maximized The search relevance was measured as a deviation in the order of search results from the best result for a given query delivered by Google The current search order was determined based on the score of generalization for the given set of POS weights the other generalization parameters having been fixed As a result of this optimization we obtained WNN   WJJ   WRB   WCD   WVB   and WPRP   excluding common and frequent verbs like get takesetput for which WVBcommon  We also establish that W<POS>  different words but the same POS and W<word>  the same word occurring as different POSs in two sentencesr
100,Definition The generalization score or the similarity between the sentences sentand sent can then be expressed as a sum through the phrases of the weighted sum for  the words wordsentand word sentr
101,∑ NP VP …∑ WPOS word generalizationword sentword sentr
102,The maximal generalization can then be defined as the generalization with the highest score Accordingly we define the generalization for phrases sentences and paragraphs The result of the generalization can be further generalized with other parse trees or generalizations For a set of sentences the totality of the generalizations forms a lattice the order of the generalizations is set by the subsumption relation and the generalization score We enforce the associativity of the generalization of parse trees by means of computation it must be verified and the resultant list must be extended each time a new sentence is added Note that such an associativity is not implied in our definition of generalization  r
103,We have manually created and collected a rule base for generic linguistic phenomena from various resources Unlike a text entailment system in our situation we do not require a complete transformation system as long as we have a sufficiently rich set of examples Syntacticbased rules capture the entailment inferences associated with common syntactic structures including the simplification of the original parse tree reducing it into a canonical form extracting its embedded propositions and inferring propositions from the nonpropositional subtrees of the source tree Table r
104,Camera is very stable and has played an important role in filming their weddingr
105,The flash was disconnected when the children went out to play in the yardr
106,I was forced to close the LCD which was blinded by the sunr
107,Digital zoom a feature provided by the new generation of cameras dramatically decreases the images’ sharpness r
108,My customers use their an auto … autofocus camera for polar expeditions their > anr
109,A cell phone can be easily grasped in the palm of a hand The hand can easily grasp the cell phone in its palmr
110,Sony’s LCD screens work as well as Canon’s in a sunny environment The LCD of Sony… as well as that of Canonr
111,It made me use digital zoom for mountain shots I used digital zoom…r
112,Table  Rules of graph reduction for generic linguistic structures The resultant reductions are italicized r
113,The valid matching of sentence parts embedded as verb complements depends on the verbs’ properties and the polarity of the context in which the verb appears positive negative or unknown We used the list of verbs for communicative actions in Galitsky and Kuznetsov  which indicate positive polarity context This list is complemented with a few reporting verbs such as say and announce because opinions are often provided in reported speech in the news domain while authors are usually considered reliable We also used annotation rules to mark the negation and modality of predicates mainly verbs based on their descendent modifiers r
114,An important class of transformation rules involves noun phrases The adjectives of a single noun group can be resorted as well as all nouns except the head one A noun phrase that is a postmodifier of the head noun of a given phrase can be merged with the latter The resultant meaning may be distorted; otherwise we would miss important commonalities between expressions containing noun phrases For an expression ‘NP<of or for> NP we form a single NP with the head noun headNP  headNP playing the role of modifier and an arbitrary sorting of adjectives For example we convert ‘camera with digital zoom’ into ‘digital zoom camera’ headNP  camera r
115,Finding similarity between two paragraphs of textr
116,To rank search results one needs to have a measure of similarity between questions and answers Once a candidate set of answers is obtained by a keyword search using for example TFIDF model we calculate the similarity between the question and each of its candidate answers and rank the latter set respectively in the order of similarity decreaser
117,We will compare three following approaches to assessing the similarity of text paragraphsr
118,· Baseline bagofwords approach which computes the set of common keywordsngrams and their frequencies r
119,· Pairwise sentence matching we will apply syntactic generalization to each pair of sentences and sum up the resultant commonalities This technique has been developed in our previous work Galitsky et al  Section r
120,The first approach is most typical for industrial NLP applications today and the second one has been explored in our previous studies Kernelbased approach to parse tree similarities Moschitti  Zhang et al  as well as tree sequence kernel Sun et al  being tuned to parse trees of individual sentences also belong to the second approach We demonstrate its richness of the third approach here and in the consecutive sections we will provide a stepbystep illustration for how PTs are constructed and generalized We will introduce a pair of short texts articles and compare the above three approaches This example will go through the whole sectionr
121,The first paragraph can be viewed as a search query and the second paragraph can be viewed as a candidate answer A relevant answer should be a closely related text on one hand and not a piece of duplicate information on the other handr
122,Operator ‘’ in the following example and through all the paper denotes generalization operation Describing parse trees we use standard notation for constituency trees … represents subphrase NN JJ NP etc denote partsofspeech and types of subphrases ‘’ will be is a placeholder for a word part of speech or an arbitrary graph noder
123,Iran refuses to accept the UN proposal to end the dispute over work on nuclear weaponsr
124,UN nuclear watchdog passes a resolution condemning Iran for developing a second uranium enrichment site in secretr
125,A recent IAEA report presented diagrams that suggested Iran was secretly working on nuclear weaponsr
126,Iran envoy says its nuclear development is for peaceful purpose and the material evidence against it has been fabricated by the USr
127,UN passes a resolution condemning the work of Iran on nuclear weapons in spite of Iran claims that its nuclear research is for peaceful purposer
128,Envoy of Iran to IAEA proceeds with the dispute over its nuclear program and develops an enrichment site in secretr
129,Iran confirms that the evidence of its nuclear weapons program is fabricated by the US and proceeds with the second uranium enrichment siter
130,The list of common keywords gives a hint that both documents are on nuclear program of Iran however it is hard to get more specific detailsr
131,Iran UN proposal dispute nuclear weapons passes resolution developing enrichment site secret condemning second uranium r
132,Pairwise generalization gives a more accurate account on what is common between these texts  r
133,NNwork IN INon JJnuclear NNSweapons    DTthe NNdispute INover JJnuclear NNS   VBZpasses DTa NNresolution   r
134,VBGdeveloping DT NNenrichment NNsite INin NNsecret  r
135,DTthe NNevidence IN PRPit    VBN VBNfabricated INby DTthe NNPus r
136,Parse Thicket generalization gives the detailed similarity picture which looks more complete than the pairwise sentence generalization result abover
137,NNIran VBGdeveloping DT NNenrichment NNsite INin NNsecret r
138,NNgeneralization<UNnuclear watchdog>  VBpass NNresolution VBG condemning NN Iranr
139,NNgeneralization<Iranenvoy of Iran> Communicative_action  DTthe NNdispute INover JJnuclear NNSr
140,Communicative_action  NNwork  INof NNIran INon JJnuclear NNSweaponsr
141,NNgeneralization <Iranenvoy to UN>  Communicative_action  NNIran NNnuclear NN VBZis INfor JJpeaceful NNpurpose    r
142,Communicative_action  NNgeneralize <workdevelop>  INof NNIran INon JJnuclear NNSweaponsr
143,NNgeneralization <Iranenvoy to UN>  Communicative_action  NNevidence INagainst NN Iran NNnuclear   VBNfabricated INby DTthe NNPus r
144,condemn^proceed enrichment site <leads to>  suggest^condemn  work Iran nuclear weapon r
145,One can feel that PTbased generalization closely approaches human performance in terms of finding similarities between texts To obtain these results we need to be capable of maintaining coreferences apply the relationships between entities to our analysis subject vs relationtothis subject including relationships between verbs develop is a partial case of work We also need to be able to identify communicative actions and generalize them together with their subjects according to the specific patterns of Speech Act Theory Moreover we need to maintain Rhetoric Structure relationship between sentences to generalize at the level of textual discourser
146,Fig and Fig show the dependencybased parse trees for the above texts Tand T Each tree node has labels as partofspeech and its form such as SG for ‘single’; also tree edges are labeled with the syntactic connection type such as ‘composite’ We are not concerned with a particular type of a parse tree representation dependency or constituency as long as we have labels for nodes and vertexesr
147,We now proceed to an example of search query and two answers where coreference establishes a link between two sentences and makes the linked words relevant to a query We will consider two cases for text indexing where establishing proper coreferences inside and between sentences connects entities in an index for proper match with a questionr
148,Question Which specialist doctor should treat my tuberculosisr
149,Text for indexingcandidate answer  … Tuberculosis is usually a lung disease It is cured by doctors specializing in pulmonology r
150,Text for indexingcandidate answer  … Tuberculosis is a lung disease… Pulmonology specialist Jones was awarded a prize for curing a special form of disease r
151,In the first case establishing the coreference link Tuberculosis → disease → is cured by doctors pulmonologists helps to match these entities with the ones from the question In the second case this portion of text does not serve as a relevant answer to the question although it includes keywords from this question Hence at indexing time keywords should be chained not just by their occurrence in individual sentences but additionally on the basis of coreferences One can observer that building PT for an answer online and matching it with question delivers answers which would be determined as irrelevant without building coreference chains This way coreferences and same entity relations as parts of PTs improve search recall From now on we will refer to such chains as phrases from distinct sentences as thicket phrases r
